id,address,pname,cityname,type,adname,name,location,lng,lat,rank
B001B0AU26,沿河大道165号多福家电(近多福路),湖北省,武汉市,购物服务;家电电子卖场;综合家电商场,Qiaokou,武汉多福家电市场,"114.279474,30.562231",114.279474,30.562231,2
B0FFLFB74O,高桥二路与万国街交叉口西380米,湖北省,武汉市,购物服务;商场;普通商场,Dongxihu,武汉自贸城39栋,"114.049142,30.629038",114.049142,30.629038,2
B0FFLFB6B7,高桥二路与万国街交叉口西140米,湖北省,武汉市,购物服务;商场;普通商场,Dongxihu,武汉自贸城3栋,"114.051542,30.628305",114.051542,30.628305,2
B0G04R8JUC,高桥二路与万国街交叉口西180米,湖北省,武汉市,购物服务;商场;普通商场,Dongxihu,武汉自贸城18栋,"114.051149,30.628503",114.051149,30.628503,2
B0G04S89SQ,高桥二路与万国街交叉口西南180米,湖北省,武汉市,购物服务;商场;普通商场,Dongxihu,武汉自贸城4栋,"114.051369,30.628010",114.051369,30.62801,2
B0G0PUETEG,高桥二路与万国街交叉口西200米,湖北省,武汉市,购物服务;商场;普通商场,Dongxihu,武汉自贸城20栋,"114.051014,30.627989",114.051014,30.627989,2
B0H3C7BEE6,新天大道地铁4号线知音站B出口,湖北省,武汉市,购物服务;商场;购物中心|购物服务;商场;普通商场,Caidian,武汉蔡甸吾悦广场,"114.093986,30.554961",114.093986,30.554961,1
B001B0K7C0,多福路8号,湖北省,武汉市,购物服务;商场;普通商场,Qiaokou,汉正街中心商城,"114.277655,30.567428",114.277655,30.567428,2
B0FFFGULCQ,将军路街办事处金银潭大道1号,湖北省,武汉市,购物服务;商场;购物中心,Dongxihu,永旺梦乐城(武汉金银潭店),"114.237878,30.650288",114.237878,30.650288,1
B0G0XU1ZY0,将军路街办事处车场南路7号,湖北省,武汉市,购物服务;商场;购物中心|购物服务;超级市场;超市,Dongxihu,永旺超市(武汉常青城店),"114.251278,30.657951",114.251278,30.657951,1
B0HG47SLEM,白沙三路与光霞路交汇口,湖北省,武汉市,购物服务;商场;商场,Hongshan,龙湖武汉白沙天街B馆,"114.287844,30.478318",114.287844,30.478318,1
B0HGT9B8TF,解放大道630号,湖北省,武汉市,购物服务;商场;商场,Qiaokou,武汉K11购物艺术中心II馆,"114.266362,30.579187",114.266362,30.579187,1
B0H14HTFN0,烽胜路60号(白沙六路地铁站C口旁),湖北省,武汉市,购物服务;商场;普通商场,Hongshan,Oval Space 一奥荟·武汉启城购物公园(装修中),"114.292508,30.469272",114.292508,30.469272,2
B0FFM1CYVH,嘉禾园46栋3单元102,湖北省,武汉市,购物服务;家电电子卖场;综合家电商场,Dongxihu,武汉聚力名匠电器维修有限公司,"114.154945,30.629356",114.154945,30.629356,3
B0FFLA2WKG,友谊大道金盛国际家居后广场辅楼W27/W28,湖北省,武汉市,购物服务;家电电子卖场;综合家电商场,Wuchang,武汉麦田威尔商贸有限公司,"114.318614,30.559948",114.318614,30.559948,3
B0FFK7L8Q0,南李路32号(板桥地铁站D口步行130米),湖北省,武汉市,购物服务;商场;免税品店,Hongshan,武汉金鑫盛家具交易中心,"114.314048,30.474454",114.314048,30.474454,3
B0FFHUX5XP,解放大道690号(中山公园地铁站A口步行210米),湖北省,武汉市,购物服务;商场;购物中心,Jianghan,武汉国际广场,"114.272092,30.580115",114.272092,30.580115,1
B001B0JX9J,龙阳大道特6号,湖北省,武汉市,购物服务;商场;购物中心,Hanyang,武汉摩尔城,"114.207033,30.559123",114.207033,30.559123,1
B001B0IHD0,宗关解放大道201号南国西汇生活广场2-3楼,湖北省,武汉市,购物服务;家电电子卖场;综合家电商场,Qiaokou,工贸家电(大武汉店),"114.223116,30.583635",114.223116,30.583635,2
